id,panel_member_id,interview_id,role
0221333e-2274-4972-9d6c-d4e860958cb1,a9f34e18-a4c4-427f-951d-e72d792cc7aa,789a349b-2def-4189-bbb1-83cde9a3a594,Peer
06cb9f83-3fb3-41b6-ac5b-175dcef6966b,72e54aef-d0b8-489c-9bcc-4f7096b45d53,47f630ac-7195-40d8-b15d-f38ddf6674f6,SME
07cf7e3e-3a72-4f10-a792-fca8bcaade55,6a3a6e27-05a8-4314-8631-4cda51b09e35,b6178dfa-aa09-4e80-8d5a-4ef02a457528,SME
09a24ce9-aafe-4704-9721-19d5ec8d3042,6a3a6e27-05a8-4314-8631-4cda51b09e35,9c9466a0-1fef-404c-aab2-8cdeb06c9bb3,Peer
0b08f229-0496-42ed-8c4e-3aa2b7f9e45c,a7e18085-413d-4e70-8766-012e924d0345,f8a8eb5d-5e93-42a6-8f57-7926a5571795,Interviewer
0c7d91b9-a88f-44f0-a1ea-b13efd80ae0b,4bbe28a0-b4a4-4b37-a4eb-651afbeca127,e2e7314a-24e0-4cb9-9a86-0b067bc5bf02,Interviewer
0dc19622-b66b-48cd-ac97-ec3f03f2f3e8,09b2db45-f73a-40bd-b1f8-bbcabd864ddc,bd13d125-3b21-47d8-8433-33bc019d5264,Peer
0f256d91-5abb-4242-8add-cc7f3ba34e75,d34907b3-ede7-4fb2-9296-142d01f7755a,c066bda3-2a14-4a78-a924-475ba00e8a4e,Peer
10b53d8a-0dd7-46f2-9b44-ca2dfed5f672,6a3a6e27-05a8-4314-8631-4cda51b09e35,3e45d22a-77bc-4a07-b470-411c1977120a,Peer
134c7013-d681-4aac-8961-2721fdf9455d,09b2db45-f73a-40bd-b1f8-bbcabd864ddc,15155afa-2aa9-4b62-a2db-2b94fd89f534,Interviewer
14a1d079-d174-4443-a85a-20adf31f2e6f,959fc0d0-42ad-4a2c-a463-8d68d232c276,e2a5455b-a67d-4edb-841f-690f0f5f1a67,SME
17b84dd0-04cb-4102-8cec-6d54c04474f4,09b2db45-f73a-40bd-b1f8-bbcabd864ddc,789a349b-2def-4189-bbb1-83cde9a3a594,Interviewer
189d8161-1462-4817-80b6-4734b4a149cd,4d98a907-8167-4fae-a73b-cac743af7a46,7ac54f09-0744-4766-9685-dd25b58e95c7,SME
